ID Geography,County,State,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018)
05000US37057,Davidson County, NC,38803,42201,46150,45678,46802,45320,2459,3089,3215,2558,2946,3911
05000US47037,Davidson County, TN,47150,47993,52026,54855,58490,60856,1241,1833,1366,2291,2466,1690
05000US21059,Daviess County, KY,47252,41685,48791,51764,49507,50934,3165,3098,4671,4455,4074,2857
05000US49011,Davis County, UT,70335,70440,72016,76905,80301,84358,2668,2717,2163,3556,2881,3128
05000US01049,DeKalb County, AL,40876,35023,36559,35963,39373,36998,7020,7253,4410,3259,5580,4416
05000US13089,DeKalb County, GA,49796,50542,54057,56109,61827,64461,2166,1308,2666,2380,2120,3851
05000US17037,DeKalb County, IL,52867,56450,55471,59285,59942,63085,5077,3251,5589,4292,5181,4518
05000US18035,Delaware County, IN,36402,39323,40606,41041,41255,41662,2314,3122,2163,3086,2643,3947
05000US39041,Delaware County, OH,84159,96949,96410,101693,106933,99881,6238,4512,4514,6016,4294,6082
05000US42045,Delaware County, PA,64822,62993,67584,67950,73854,72045,2699,2886,2587,3102,1771,2186
05000US48121,Denton County, TX,74981,74196,75649,80613,86291,88117,1989,2431,1704,2154,2400,2773
05000US08031,Denver County, CO,51089,54941,58003,61105,65224,68377,1181,1939,2702,1439,2673,2873
05000US41017,Deschutes County, OR,46791,52006,57373,61870,66273,67577,5216,3650,5618,3790,4568,3751
05000US28033,DeSoto County, MS,58959,58073,60394,64505,66440,68385,2775,3184,2751,4836,6212,3907
05000US11001,District of Columbia, DC,67572,71648,75628,75506,82372,85203,3383,1996,2493,3416,2651,3414
05000US35013,Doña Ana County, NM,36343,39502,39902,37496,37144,35262,3290,2991,2958,3647,3745,3698
05000US55027,Dodge County, WI,51151,53139,55832,55856,56421,63077,1838,3928,3028,3413,3754,5268
05000US45035,Dorchester County, SC,54582,56277,54521,57637,64148,66438,4895,5165,4878,3433,5767,5439
05000US13095,Dougherty County, GA,30504,31755,35645,37222,38712,39659,2668,2312,4204,6000,5782,2972
05000US08035,Douglas County, CO,102961,103226,107650,109292,111482,119615,3740,5337,4820,5323,2620,3572
05000US13097,Douglas County, GA,50281,54826,59329,62445,61094,60829,5225,5073,3442,8124,6558,6317
05000US20045,Douglas County, KS,52150,48565,52964,56345,55646,54668,4124,3490,7149,4195,5864,8815
05000US31055,Douglas County, NE,51728,52505,58359,58990,61531,64390,1477,1649,1758,2319,1844,2481
05000US41019,Douglas County, OR,40605,42000,41428,42889,47746,47004,2587,3139,3670,3357,3337,3312
05000US19061,Dubuque County, IA,51735,56129,58487,60456,61497,60225,2928,4478,3255,4069,3353,3573
05000US17043,DuPage County, IL,76195,80015,81559,84908,89521,93750,1794,1715,1672,2000,2135,3311
05000US37063,Durham County, NC,52488,50504,53495,53832,59891,58073,2605,1763,2972,2167,3454,4023
05000US36027,Dutchess County, NY,70056,71165,71864,74115,77915,80227,4183,2168,3327,3444,4902,3395
05000US12031,Duval County, FL,47906,45779,49554,51980,52062,55832,1603,1395,1344,1228,1385,1959
05000US22033,East Baton Rouge Parish, LA,48463,46778,50519,50508,55326,52947,2797,2572,1433,1582,3196,2809
05000US26045,Eaton County, MI,53328,57087,56005,56211,64522,67195,2606,2357,3609,4309,3421,3731
05000US55035,Eau Claire County, WI,49204,47043,51667,49821,54963,60475,3436,3168,2956,5998,4157,3385
05000US48135,Ector County, TX,55710,58701,65454,53254,55380,64165,4602,6825,4475,5866,4862,6882
05000US06017,El Dorado County, CA,61365,71113,79019,75772,79414,82742,4625,5901,6610,4846,6793,5957
05000US08041,El Paso County, CO,57098,59446,60109,63882,65370,68119,2486,2297,1845,2330,1821,2360
