County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canadian County,Oklahoma,469,#DIV/0!,#DIV/0!,#DIV/0!,127014,128500,135133,140917,146542,150850,157258,164400,173783,176000
Cannon County,Tennessee,1262,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,95100,113317,126558,137892,142217,166783,204650
Canyon County,Idaho,308,#DIV/0!,#DIV/0!,93300,78325,91942,115767,125017,134800,151233,166142,194858,227558,247800
Cape Girardeau County,Missouri,635,116630,123100,122042,126233,127317,126742,131050,135242,136767,139783,138617,152150,166800
Cape May County,New Jersey,540,349570,316592,329000,341442,339692,309067,334500,323933,301283,310808,315000,329158,383300
Carbon County,Pennsylvania,699,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,103733,112533,107617,115200,126883,137918,#DIV/0!
Carlton County,Minnesota,996,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,151367,156325,162625,184600
Caroline County,Maryland,1028,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,156383,142917,157108,165625,184225,185250
Caroline County,Virginia,1076,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,128271,134192,143375,151708,165283,177000,190108,202508,225500
Carroll County,Maryland,343,#DIV/0!,263886,255567,245633,247783,268250,272308,274533,278575,285425,298425,306883,318000
Carroll County,Georgia,485,111140,97000,82233,70167,73725,91833,106400,120358,125142,136383,147625,158192,157200
Carroll County,New Hampshire,834,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,223600,229508,249967,260350
Carroll County,Iowa,1189,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100533,109875,122733,117008,129992,132708,155400
Carroll County,Indiana,1197,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97400,92617,112217,109425,121600,122108,130317,140450
Carson City,Nevada,769,244410,200525,165950,140117,134450,165192,184942,209142,238608,265325,292817,323042,332000
Carter County,Tennessee,752,86030,84425,87883,84900,83183,90383,84058,93425,96025,103650,113542,122358,121600
Carter County,Oklahoma,837,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,110800,103400,104283,129192,117650,135800
Carteret County,North Carolina,688,234230,242342,228650,219908,233142,220217,226667,235033,224133,235300,253400,266467,275950
Cass County,Missouri,529,133120,131933,132133,124617,126767,132542,137717,149683,156983,170842,187642,197708,#DIV/0!
Cass County,Michigan,794,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90988,100142,99867,113475,123875,128858,135458,117500
Cass County,Minnesota,1075,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,139513,147017,149833,172000,186742,199500
Cassia County,Idaho,1161,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,109188,125383,129942,130650,142467,155800,178250,184267,184600
Catawba County,North Carolina,378,126170,119358,117717,116842,121758,121075,121875,126300,133017,135433,150292,163083,167550
Catoosa County,Georgia,707,121590,122892,122792,108342,111108,116258,112467,125433,133075,140567,150200,161775,170000
Cattaraugus County,New York,610,68130,64800,65558,70083,76083,74000,73992,72975,72025,80150,90983,97508,86600
Cayuga County,New York,611,91430,91767,99242,100625,99483,100767,108675,106783,108800,109875,116492,119033,123650
Cecil County,Maryland,522,#DIV/0!,#DIV/0!,192550,193300,192417,182833,184142,190992,186533,207392,212933,220425,231100
Centre County,Pennsylvania,379,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,215371,224708,231267,252008,258800
Cerro Gordo County,Iowa,878,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114700,107758,111667,104500
Chaffee County,Colorado,1218,#DIV/0!,#DIV/0!,218350,223108,228900,238792,258850,258000,296983,334950,362792,391358,388700
Chambers County,Texas,1000,149470,145292,148858,143350,162100,175633,197550,200075,201883,216333,223675,242117,242250
Champaign County,Illinois,288,132780,133717,135983,132375,135292,131142,137617,149483,144267,145475,145542,149517,148450
Champaign County,Ohio,933,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107250,113833,118617,123125,122900
Charles County,Maryland,396,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,217000,219400,227908,233508,243642,260008,276908,289450,303200
Charleston County,South Carolina,177,229600,220842,233350,226267,230225,253083,254225,266425,276750,290192,310475,311733,325200
Charlotte County,Florida,363,144450,112492,102908,90775,103475,124225,129183,148075,163975,169550,197867,207658,223550
Charlottesville City,Virginia,886,227650,239000,235683,222950,222425,243517,257883,254425,274183,287050,308892,343875,359450
Chatham County,Georgia,231,#DIV/0!,148356,146650,145875,145825,160100,168133,183567,188900,193692,204400,205850,216700
Chatham County,North Carolina,710,259590,230417,238533,234100,239767,255550,254333,293158,304000,314442,346142,366358,367100
Cheatham County,Tennessee,945,133610,122492,130117,120650,124158,129725,137092,146342,166217,184992,191367,211592,232400
Chelan County,Washington,657,225750,208150,206800,195258,208525,207625,212833,233108,250000,255933,273267,311125,342500
