County,State,2013,2014,2015,2016,2017,2018
Henderson County, TX,90500,86600,108800,100400,116000,106300
Hendricks County, IN,155900,168700,169500,174100,186700,199100
Hennepin County, MN,221100,228000,250100,257700,274900,289900
Henrico County, VA,213400,218000,229700,223900,239000,254100
Henry County, GA,130600,139700,153300,174900,169600,185400
Hernando County, FL,105100,111900,121200,126800,142700,153300
Hidalgo County, TX,79400,79400,81700,85200,86100,87500
Highlands County, FL,80500,80800,92600,92100,100200,105800
Hillsborough County, NH,240800,244700,256200,267400,278400,283500
Hillsborough County, FL,152900,164200,183000,195800,213600,232500
Hinds County, MS,94200,107900,118600,105600,126100,126700
Honolulu County, HI,573800,590600,629900,658900,680200,701200
Horry County, SC,151500,157000,170900,175500,176400,187000
Houston County, AL,119900,117100,131000,126800,138800,132700
Houston County, GA,128700,134300,134400,141800,129800,143900
Howard County, MD,425900,443300,441000,445400,444500,476600
Howard County, IN,98000,101500,100800,109400,98500,122900
Hudson County, NJ,325900,340900,342800,370200,377800,405200
Humboldt County, CA,259500,272200,278400,298300,325200,326400
Hunt County, TX,89900,85500,112400,102700,137300,144100
Hunterdon County, NJ,380700,378700,404900,409100,405200,423100
Iberia Parish, LA,99400,101300,95800,116300,122600,128900
Imperial County, CA,148400,156000,169000,170900,200700,214400
Indian River County, FL,151100,167800,174000,183600,200000,220800
Indiana County, PA,95700,104000,104700,116400,120200,122100
Ingham County, MI,118300,114800,124100,129100,134400,142700
Iredell County, NC,168700,166900,169400,182900,185000,200000
Isabella County, MI,118400,129700,125400,132200,136100,139200
Island County, WA,277900,296900,307500,332900,363800,392500
Jackson County, OR,199800,222900,243500,259900,291600,293600
Jackson County, MO,123100,125200,130800,139100,142300,159100
Jackson County, MS,117200,119200,123700,121500,148500,134200
Jackson County, MI,111000,109400,127800,123700,131300,137300
Jackson County, GA,,,,,186500,203800
James City County, VA,300800,325600,332700,326200,347400,351000
Jasper County, MO,106200,104300,120600,113500,113900,125200
Jefferson County, OH,84000,85700,88300,87400,97300,89500
Jefferson County, AL,143300,142500,155000,152000,160200,166900
Jefferson County, AR,78400,83900,80200,88000,85800,84100
Jefferson County, NY,143800,147900,155600,149600,148300,145600
Jefferson County, WI,162200,180400,174900,181800,191400,198600
Jefferson County, MO,147800,145700,155000,156700,162500,168000
Jefferson County, CO,273100,289700,330200,360800,408100,440200
Jefferson County, KY,151600,153100,155700,164500,174400,182500
Jefferson County, TX,94800,94600,101000,108300,107200,125800
Jefferson Parish, LA,170900,168800,181400,173900,184500,191900
Johnson County, KS,214900,221400,230900,242900,255200,277300
Johnson County, TX,108300,118000,135300,141900,154200,163800
Johnson County, IA,197100,205100,196900,238000,226400,236300
Johnson County, IN,139300,147800,148400,151500,164700,178700
Johnston County, NC,145300,144300,147400,152700,159300,171300
Jones County, MS,76900,84300,92300,93400,86800,113900
Josephine County, OR,205800,213100,232700,251000,278000,281200
Kalamazoo County, MI,127700,135700,148500,155500,158500,163900
Kanawha County, WV,107000,103600,110600,119000,111900,119600
Kane County, IL,201700,218000,229000,232700,237200,246000
Kankakee County, IL,135100,136700,136300,140000,151100,147300
Kauai County, HI,498300,492000,495900,558000,560600,627800
Kaufman County, TX,150000,127300,145600,163400,182300,190100
Kendall County, IL,186200,202000,210500,220300,239200,239500
Kennebec County, ME,151500,148600,151900,152900,163100,156300
Kenosha County, WI,159800,155600,164600,175100,174500,180000
Kent County, RI,195500,205900,218800,220200,231500,247700
Kent County, DE,192800,205300,215200,199000,223100,228500
Kent County, MI,134600,141200,151200,163100,173900,189100
Kenton County, KY,140700,149700,148000,153000,159200,162300
Kern County, CA,161000,183100,197100,204200,205700,226400
Kershaw County, SC,,,,,119300,144000
King County, WA,376200,402700,438100,491300,563600,635200
Kings County, NY,557000,574800,638500,667000,701800,759400
Kings County, CA,169200,169200,183000,190500,224500,231100
Kitsap County, WA,255000,255200,269200,288800,326200,363400
Klamath County, OR,144400,152000,150900,155500,179300,169500
Knox County, TN,161800,163100,168900,174100,180200,191300
Kootenai County, ID,170800,192100,197700,239600,263500,276500
Kosciusko County, IN,128100,145600,141100,142400,154900,145500
La Crosse County, WI,155000,157000,157600,164500,172600,185600
Lackawanna County, PA,146300,145900,145600,152000,153100,147900
