County,State,2013,2014,2015,2016,2017,2018
Ingham County, MI,282234,284582,286085,288051,290186,292735
Iredell County, NC,164517,166675,169866,172916,175711,178435
Isabella County, MI,70436,70616,70698,71282,71063,70562
Island County, WA,78801,79275,80593,82636,83159,84460
Jackson County, GA,,,,,67519,70422
Jackson County, MI,160369,159741,159494,158460,158640,158823
Jackson County, MO,679996,683191,687623,691801,698895,700307
Jackson County, MS,140450,141137,141425,141241,142152,143277
Jackson County, OR,208545,210287,212567,216527,217479,219564
James City County, VA,70516,72583,73147,74404,75524,76397
Jasper County, MO,116398,117543,118596,119111,120217,120636
Jefferson County, AL,659479,660793,660367,659521,659197,659300
Jefferson County, AR,73191,72297,71565,70016,69115,68114
Jefferson County, CO,551798,558503,565524,571837,574613,580233
Jefferson County, KY,756832,760026,763623,765352,771158,770517
Jefferson County, MO,221396,222716,224124,224226,223810,224347
Jefferson County, NY,119504,119103,117635,114006,114187,111755
Jefferson County, OH,67964,67694,67347,66704,66359,65767
Jefferson County, TX,252358,252235,254308,254679,256299,255001
Jefferson County, WI,84509,84395,84559,84625,84832,85129
Jefferson Parish, LA,434767,435716,436275,436523,439036,434051
Johnson County, IA,139155,142287,144251,146547,149210,151260
Johnson County, IN,145535,147538,149633,151982,153897,156225
Johnson County, KS,566933,574272,580159,584451,591178,597555
Johnson County, TX,154707,157456,159990,163274,167301,171361
Johnston County, NC,177967,181423,185660,191450,196708,202675
Jones County, MS,68961,68290,68215,67953,67930,68461
Josephine County, OR,83306,83599,84745,85904,86352,87393
Kalamazoo County, MI,256725,258818,260263,261654,262985,264870
Kanawha County, WV,191275,190223,188332,186241,183293,180454
Kane County, IL,523643,527306,530847,531715,534667,534216
Kankakee County, IL,112120,111375,110879,110008,109605,110024
Kauai County, HI,69512,70475,71735,72029,72159,72133
Kaufman County, TX,108568,111236,114690,118350,122883,128622
Kendall County, IL,119348,121350,123355,124695,126218,127915
Kennebec County, ME,121164,121112,119980,120569,121821,122083
Kenosha County, WI,167757,168068,168437,168183,168521,169290
Kent County, DE,169416,171987,173533,174827,176824,178550
Kent County, MI,621700,629237,636369,642173,648594,653786
Kent County, RI,165035,165128,164801,164614,163760,163861
Kenton County, KY,163145,163929,165012,164945,165399,166051
Kern County, CA,864124,874589,882176,884788,893119,896764
Kershaw County, SC,,,,,65036,65592
King County, WA,2044449,2079967,2117125,2149970,2188649,2233163
Kings County, CA,150960,150269,150965,149785,150101,151366
Kings County, NY,2592149,2621793,2636735,2629150,2648771,2582830
Kitsap County, WA,253968,254183,260131,264811,266414,269805
Klamath County, OR,65910,65455,66016,66443,66935,67653
Knox County, TN,444622,448644,451324,456132,461860,465289
Kootenai County, ID,144265,147326,150346,154311,157637,161505
Kosciusko County, IN,77963,78564,78620,79092,79206,79344
La Crosse County, WI,116713,118011,118212,118122,118274,118230
Lackawanna County, PA,213931,212719,211917,211321,210761,210793
Lafayette Parish, LA,230845,235644,240098,241398,242485,242782
Lafourche Parish, LA,97141,98020,98325,98305,98426,98115
Lake County, CA,63860,64184,64591,64116,64246,64382
Lake County, FL,308034,315690,325875,335396,346017,356495
Lake County, IL,703019,705186,703910,703047,703520,700832
Lake County, IN,491456,490228,487865,485846,485640,484411
Lake County, OH,229857,229230,229245,228614,230117,230514
Lancaster County, NE,297036,301795,306468,309637,314358,317272
Lancaster County, PA,529600,533320,536624,538500,542903,543557
Lancaster County, SC,80458,83160,85842,89594,92550,95380
Lane County, OR,356212,358337,362895,369519,374748,379611
Lapeer County, MI,88389,88153,88373,88340,88174,88028
LaPorte County, IN,111281,111444,110884,110015,110029,110007
Laramie County, WY,95809,96389,97121,98136,98327,98976
Larimer County, CO,315988,324122,333577,339993,343976,350518
LaSalle County, IL,112183,111241,111333,110642,110067,109430
Lauderdale County, AL,92797,93096,92596,92318,92538,92387
Lauderdale County, MS,80254,79739,78524,77755,76155,75317
Laurens County, SC,66229,66533,66623,66777,66848,66994
Lawrence County, PA,89333,88771,88082,87294,87069,86184
Lea County, NM,68062,69999,71180,69749,68759,69611
Leavenworth County, KS,78185,78797,79315,80204,81095,81352
Lebanon County, PA,135486,136359,137067,138863,139754,141314
Lee County, AL,150933,154255,156993,158991,161604,163941
Lee County, FL,661115,679513,701982,722336,739224,754610
Lee County, MS,85340,85246,85300,85381,84933,85202
Lehigh County, PA,355092,357823,360685,363147,366494,368100
Lenawee County, MI,99188,99047,98573,98504,98623,98266
Leon County, FL,281845,283988,286272,287822,290292,292502
Lewis and Clark County, MT,65338,65856,66418,67282,67773,68700
Lewis County, WA,75081,75128,75882,77066,78200,79604
Lexington County, SC,273752,277888,281833,286196,290642,295032
Liberty County, GA,64135,65198,62467,62570,,
Liberty County, TX,76907,78117,79654,81704,83658,86323
Licking County, OH,168375,169390,170570,172198,173448,175769
Limestone County, AL,88845,90787,91663,92753,94402,96174
Lincoln County, NC,79740,79829,81035,81168,82403,83770
Linn County, IA,216111,217751,219916,221661,224115,225909
Linn County, OR,118765,119356,120547,122849,125047,127335
Litchfield County, CT,186924,184993,183603,182571,182177,181111
Livingston County, MI,184443,185596,187316,188624,189651,191224
Livingston County, NY,64705,64586,64717,64257,63799,63227
Livingston Parish, LA,134053,135751,137788,140138,138228,139567
Lonoke County, AR,70753,71557,71645,72228,72898,73657
Lorain County, OH,302827,304216,305147,306365,307924,309461
Los Angeles County, CA,10017068,10116705,10170292,10137915,10163507,10105518
Loudoun County, VA,349679,363050,375629,385945,398080,406850
Lowndes County, GA,112916,113523,112865,114628,115489,116321
Lubbock County, TX,289324,293974,299453,303137,305225,307412
Lucas County, OH,436393,435286,433689,432488,430887,429899
Luzerne County, PA,320103,318829,318449,316383,317343,317646
Lycoming County, PA,116754,116508,116048,115248,113841,113664
