ID Geography,County,State,2013,2014,2015,2016,2017,2018
05000US28047,Harrison County, MS,42070,40846,42297,42770,47365,45042
05000US48203,Harrison County, TX,39701,49490,42958,46548,53394,50561
05000US54033,Harrison County, WV,41698,41333,48285,47204,58082,46569
05000US09003,Hartford County, CT,63603,65894,69622,69433,70429,73151
05000US15001,Hawaii County, HI,48399,52788,60033,55750,57545,57571
05000US48209,Hays County, TX,58987,59085,58870,64658,65667,65943
05000US37089,Henderson County, NC,44036,47335,47021,54963,51078,53706
05000US48213,Henderson County, TX,38493,41112,47906,44088,44971,42020
05000US18063,Hendricks County, IN,67535,66989,73050,78307,70991,80582
05000US27053,Hennepin County, MN,64379,64433,68935,71200,74592,76052
05000US51087,Henrico County, VA,59944,62460,66085,66337,67185,68069
05000US13151,Henry County, GA,59097,58242,65342,66905,67018,73541
05000US12053,Hernando County, FL,39193,40255,43590,47253,44892,45977
05000US48215,Hidalgo County, TX,35098,34801,35730,36176,37106,39165
05000US12055,Highlands County, FL,33811,36120,34242,36490,35543,39796
05000US12057,Hillsborough County, FL,49597,50796,51725,54588,54731,58480
05000US33011,Hillsborough County, NH,67574,71422,74323,76254,78769,78978
05000US28049,Hinds County, MS,33719,38543,39002,43657,45658,45459
05000US15003,Honolulu County, HI,73388,74634,77273,80513,81284,84423
05000US45051,Horry County, SC,42075,43001,47541,45621,45680,49047
05000US01069,Houston County, AL,39006,39543,43553,42321,44529,48105
05000US13153,Houston County, GA,49660,51054,55044,62493,58525,58965
05000US18067,Howard County, IN,44265,47159,46793,45702,49346,55868
05000US24027,Howard County, MD,109476,107490,110892,120941,111473,116984
05000US34017,Hudson County, NJ,56079,58479,60530,63808,67154,74414
05000US06023,Humboldt County, CA,42092,40598,40484,43130,46494,50294
05000US48231,Hunt County, TX,44303,42038,46048,53962,55786,55248
05000US34019,Hunterdon County, NJ,110457,103605,102122,113684,112038,111269
05000US22045,Iberia Parish, LA,39793,46290,46365,41424,40019,42994
05000US06025,Imperial County, CA,43310,39290,40852,49095,47211,48984
05000US12061,Indian River County, FL,42401,46238,49379,49072,49177,57508
05000US42063,Indiana County, PA,45266,42431,46990,42962,46237,49448
05000US26065,Ingham County, MI,44569,45616,47082,49139,50896,52691
05000US37097,Iredell County, NC,49488,54384,55949,55891,55690,59341
05000US26073,Isabella County, MI,37488,41931,40838,41868,44100,46198
05000US53029,Island County, WA,51893,59934,60532,64813,59644,64793
05000US13157,Jackson County, GA,,,,,66557,73150
05000US26075,Jackson County, MI,43668,45371,50783,50009,50258,51031
05000US29095,Jackson County, MO,46768,45874,48212,50815,52552,55929
05000US28059,Jackson County, MS,47891,47822,45596,54606,48284,50546
05000US41029,Jackson County, OR,43363,44918,43948,48563,51409,56546
05000US51095,James City County, VA,73632,72622,73968,83455,87910,83190
05000US29097,Jasper County, MO,40967,39886,44314,45786,47981,46617
05000US01073,Jefferson County, AL,45013,44646,48492,50180,50709,55206
05000US05069,Jefferson County, AR,34689,32433,35381,37712,37678,35652
05000US08059,Jefferson County, CO,68201,70714,71136,74186,80616,85890
05000US21111,Jefferson County, KY,47488,48210,51259,51991,55044,55851
05000US29099,Jefferson County, MO,55089,59327,58704,61559,62228,65246
05000US36045,Jefferson County, NY,46683,51086,51107,45624,47101,53146
05000US39081,Jefferson County, OH,37012,40293,44194,44257,43675,40308
05000US48245,Jefferson County, TX,41838,40652,48005,45390,47657,47177
05000US55055,Jefferson County, WI,51235,55675,62399,58703,56675,65651
05000US22051,Jefferson Parish, LA,46576,46961,49576,49678,51494,50766
05000US19103,Johnson County, IA,51606,60254,55913,58064,61011,63035
05000US18081,Johnson County, IN,57245,55201,68744,65991,70339,68209
05000US20091,Johnson County, KS,73737,75679,82892,80553,82855,86746
05000US48251,Johnson County, TX,56253,55739,58758,59895,62482,62390
05000US37101,Johnston County, NC,50492,48851,52234,54719,58111,60132
05000US28067,Jones County, MS,33915,36374,32856,43350,39310,49393
05000US41033,Josephine County, OR,38298,36870,41493,36472,44426,48315
05000US26077,Kalamazoo County, MI,45854,45148,52164,53138,56025,55416
05000US54039,Kanawha County, WV,46325,44186,45028,45001,42197,41141
05000US17089,Kane County, IL,72108,72541,70359,73347,75628,79818
05000US17091,Kankakee County, IL,49761,58378,53850,54911,58539,51404
05000US15007,Kauai County, HI,60155,64847,77140,71344,83860,80921
05000US48257,Kaufman County, TX,65258,56098,58141,62033,65841,66668
05000US17093,Kendall County, IL,74859,90072,85979,90482,91250,89862
05000US23011,Kennebec County, ME,44724,44633,51335,51573,53073,51653
05000US55059,Kenosha County, WI,51013,52787,55845,59417,61073,65330
05000US10001,Kent County, DE,54794,55227,56778,54140,57608,54419
