ID Geography,Geography,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),,
05000US50007,"Chittenden County, VT",64958,62004,67997,68843,64444,75852,5982,3447,3672,5710,5029,5634,159515,160531,161382,161531,162372,164572,,
05000US21047,"Christian County, KY",45206,35755,39827,41140,43940,38448,5471,2516,2251,4263,3786,3428,74167,74250,73309,72351,70416,71671,,
05000US29043,"Christian County, MO",51342,51692,53730,53172,59161,56717,4185,2366,4238,4634,4596,4486,80899,82101,83279,84401,85432,86983,,
05000US12017,"Citrus County, FL",40015,35671,40294,39206,43548,39964,3181,2376,3717,4485,2964,4030,139271,139377,141058,143621,145647,147929,,
05000US41005,"Clackamas County, OR",66758,65316,69629,74891,79878,81278,2466,2903,2898,3232,3062,2579,388263,394972,401515,408062,412672,416075,,
05000US53009,"Clallam County, WA",46566,46469,44929,48587,47907,59001,3259,4951,4018,5198,3155,5412,72312,72715,73486,74570,75474,76737,,
05000US18019,"Clark County, IN",50760,52674,51828,51401,52036,56307,2586,2827,3901,2832,2892,4841,112938,114262,115371,116031,116973,117360,,
05000US32003,"Clark County, NV",51057,51214,51552,54384,57189,57076,747,745,864,1187,970,1052,2027868,2069681,2114801,2155664,2204079,2231647,,
05000US39023,"Clark County, OH",43742,41729,47963,46811,46665,49875,2930,1303,3106,3343,3411,2161,136167,136554,135959,134786,134557,134585,,
05000US53011,"Clark County, WA",57588,61741,64275,69062,74747,74060,2105,1371,2931,2069,2965,2478,443817,451008,459495,467018,474643,481857,,
05000US13059,"Clarke County, GA",31551,29996,31284,34999,39825,42232,2671,2144,2592,5430,4230,2154,121265,120938,123912,124707,127064,127330,,
05000US12019,"Clay County, FL",57757,58153,58676,56315,65247,61825,4052,4131,3398,2720,3957,3284,196399,199798,203967,208311,212230,216072,,
05000US29047,"Clay County, MO",60541,61384,65090,65430,66938,68269,2255,2851,2071,4249,4300,3849,230473,233682,235637,239085,242874,246365,,
05000US13063,"Clayton County, GA",40754,43287,42120,45252,45172,46646,2159,1555,3354,2895,2880,3495,264220,267542,273955,279462,285153,289615,,
05000US42033,"Clearfield County, PA",39236,39592,44666,47352,48581,46205,3627,2878,3345,4313,3188,4126,81174,81191,80994,80596,79685,79388,,
05000US39025,"Clermont County, OH",61702,62554,62054,60661,65632,64526,1894,2631,3565,2390,3671,2905,200218,201560,201973,203022,204214,205466,,
05000US37045,"Cleveland County, NC",40581,37433,38885,36992,37205,40690,2344,4953,4073,2520,3323,3708,97047,97076,96879,97144,97334,97645,,
05000US40027,"Cleveland County, OK",54340,58286,59336,61288,61213,62096,2732,3422,2592,2080,2020,2547,269340,269908,274458,278655,279641,281669,,
05000US26037,"Clinton County, MI",59569,58453,63764,65730,62175,69522,5876,4322,4365,3138,5514,5035,76739,77297,77390,77888,78443,79332,,
05000US36019,"Clinton County, NY",43892,53575,45377,55316,58234,56704,5665,4245,3652,4840,4388,5379,81591,81632,81251,81073,80980,80695,,
05000US13067,"Cobb County, GA",63086,67043,70246,70947,75654,78894,2094,2084,2131,2173,2939,3138,717190,730981,741334,748150,755754,756865,,
05000US04003,"Cochise County, AZ",46647,45688,43291,45508,51816,50495,3806,2754,4853,3151,5252,3862,129473,127448,126427,125770,124756,126770,,
05000US04005,"Coconino County, AZ",50637,49757,53152,55091,54893,61843,4486,5462,4204,4663,4668,3885,136539,137682,139097,140908,140776,142854,,
